name,place_id,latitude,longitude,address,phone_number,rating
Petwell Veterinary Clinic - Ganjoni,ChIJI6ce-GETQBgRCLC06HDHF54,-4.0641226,39.662997,"Bishop Makarios road, Mombasa, Kenya",0734 791997,3.8
Coast Veterinary Clinic mombasa,ChIJbeWvOG4NQBgRaEhuQzb9Sy4,-3.9945102,39.7313401,"Mombasa - Malindi Road, Mombasa, Kenya",0720 043449,N/A
Fazinik Veterinary Clinic,ChIJgSTZhaEOQBgRKm7DsDGfG0g,-3.9737979,39.7391274,"Next To Club Vumaz, 2PGQ+FMJ, Malindi Rd, Mombasa, Kenya",0734 973034,3.7
Petwell Veterinary Clinic - Mtwapa,ChIJS5JWNbIJQBgRxDXTci289AE,-3.9536104,39.748708,"Unnamed Road, Mtwapa, Kenya",0752 190144,4
Warshow Veterinary Clinic,ChIJ8a_zH1kSQBgRYylLs5XBSIs,-4.047425199999999,39.6959266,"XM3W+29F, Lantana Dr, Mombasa, Kenya",0733 729510,4.6
Oasis Veterinary Clinic,ChIJSSXAGgANQBgRnyzp294Y7uQ,-4.0012299,39.70172559999999,"XPX2+GM5, Mombasa, Kenya",N/A,N/A
petmall veterinary centre,ChIJ2dEtABhzQBgRN7gNYTlkfog,-3.997652,39.6209674,"aldina, Mombasa, Kenya",0769 523755,3.8
Kenya Society For The Protection And Care For Animals,ChIJEzHUt4sNQBgRZWprmctwNX0,-4.0229938,39.71008369999999,"XPG6+R24, Nyali Rd, Mombasa, Kenya",0733 728356,4.3
Bellevue mobile veterinarians Thika,ChIJr1LDcDATQBgRDl6wXWaJsQw,-4.0507425,39.6652308,"145 Makupa, Mombasa, Kenya",0725 055347,5
Petcare Vet,ChIJrSZMSx4TQBgRDhDTFOJhrck,-4.0938545,39.6715989,"Shelly Beach, Mombasa, Kenya",0705 301494,N/A
ANIWORLD VETERINARY CLINIC MILIMANI BRANCH,ChIJ31_iGp6lKhgREDPRKCJ23Js,-0.1069375,34.75768749999999,"VQV5+63C Pramukh Swami-Bonyo Road Junction, Kisumu, Kenya",0768 468339,5
Aniworld Veterinary Clinic,ChIJ7TwnBYWkKhgRp9jfRIboMhM,-0.085384,34.772292,"Tom Mboya Estate, along Kisumu - Kakamega Road Opposite Kondele Police Station, Kisumu, Kenya",0708 192291,4.5
Tingle Veterinary Clinic,ChIJJ3z-0qijKhgROwI1TR7lwUA,-0.0772832,34.7767434,"Migosi Estate, Kisumu, Kenya",0711 447193,5
Victoria Veterinary center,ChIJBewx9YikKhgRduWoQ0KdXSg,-0.0941803,34.7615021,"Market, Kisumu, Kenya",0725 729880,4.5
KISUMU VETERINARY CENTRE,ChIJqe-0HYmjKhgR5u6XeC6dSgU,-0.0825774,34.7776298,"Kisumu, Kenya",N/A,N/A
Avenue Hospital Kisumu,ChIJ8ebk532kKhgRL74mWlDZHXU,-0.09109559999999998,34.76787700000001,"Kisumu - Kakamega Road, Opposite, Kibuye Market, Kisumu, Kenya",0718 860200,3.5
Kisumu Specialist Hospital,ChIJh7tLUdymKhgRlS1wkWvO4xQ,-0.0361831,34.7551844,"East, Kisumu East, Kisumu, Kenya",0780 852454,3.9
Africa Inuka Hospital,ChIJ9SFEMj6lKhgRR18QZVCEFg0,-0.114825,34.7567933,"Market Milimani, Kisumu, Kenya",0768 784498,3.6
Aga Khan Hospital KISUMU,ChIJtVC_xo2kKhgRHBK5sVBJeD4,-0.0986866,34.75651919999999,"Jairo St, Kisumu, Kenya",041 4259186,3.9
AAR Healthcare Kisumu Outpatient Centre,ChIJ46YAwJSkKhgRPOQqdfalZx8,-0.1043545,34.75306879999999,"Al Imran Plaza, 1st Floor Oginga Odinga Rd, Kisumu, Kenya",057 2024892,4.3
Nightingale Medical Center -Milimani,ChIJwSbdJL6kKhgRtVmw7hZfBnU,-0.1078024,34.7553969,"Market Milimani Milimani along, Okore Rd, Kisumu, Kenya",0796 145290,3.2
Sabatia Eye Hospital Kisumu Clinic,ChIJPXLBHg2lKhgRZEVoB1mBw40,-0.106781,34.7565754,"Market Milimani, Kisumu, Kenya",020 239388,4.3
AAR Healthcare United Mall Outpatient Centre,ChIJrXto4mWlKhgRkgbe1cy2jOQ,-0.09853999999999999,34.76208,"United Mall, 1st Floor Jomo Kenyatta Hwy, Kisumu, Kenya",0709 701010,N/A
Kilimani Hospital,ChIJwSTK35akKhgRCloudZC_iHE,-0.1045259,34.76005469999999,"Kisumu, Kenya",0738 008715,4.6
Milimani Maternity Hospital Clinic,ChIJoT8VcLWkKhgRx15_VK70ftA,-0.1216358,34.7530532,"Ring Rd, Kisumu, Kenya",0722 233482,4
Exodus Agrovet,ChIJva2xxIOlKhgRFj8-MbrTFOM,-0.084382,34.7740104,"Kondele Roundabout, Legion, Kenya",0707 247505,4
Nakuru Vet House Services,ChIJ-wlqVNONKRgRROoa3GyGeLE,-0.2779011,36.07436389999999,"Foothill, Nakuru, Kenya",0729 777555,5
Nairobi Veterinary Centre (Nakuru Branch),ChIJW31_QZGNKRgRg1mg8IpeOC4,-0.2849397,36.06884640000001,"Kenyatta Ave, Nakuru, Kenya",0795 285454,4.3
Nakuru animal veterinary services,ChIJU9HbEsqNKRgRQAKgwtaaGCg,-0.2613494,36.0186633,"Kiamunyi, Nakuru, Kenya",0797 938023,N/A
Nakuru Petcare Surgery Limited,ChIJ5ZqzgIuNKRgRBl6QUg8cW10,-0.2856516000000001,36.0839638,"El Molo Drive Off Oginga Odinga Avenue, Section 58, Nakuru, Kenya",N/A,4.5
Simon Njugush veterinary clinic,ChIJMWnKmCGNKRgRV4pWNTr-wU0,-0.2917156,36.0295261,"Kaptembwa, Nakuru, Kenya",0746 759334,N/A
Simbaa Veterinary Clinic and Services,ChIJmSrNJqWZKxgR5QvZ8KzTDF8,-0.2877965,36.06389809999999,"Westside Mall, Nakuru, Kenya",0724 379732,N/A
Vintage Agrovet Veterinary And A.I,ChIJZbvQXPeMKRgRtKt_YZro4mk,-0.2696847999999999,36.0343251,"P2JM+4PG, Nakuru, Kenya",0705 491593,5
Menengai Agrovet & Veterinary Services,ChIJ9evE_ZONKRgREbB3ZT9Hb9c,-0.2840854,36.073468,"P38F+998, Kenyatta Ave, Nakuru, Kenya",0724 224801,4.1
(Vintage veterinary phamarcy )..Emergency vet Doctor and pets,ChIJG4WXFkqNKRgRlcVKMBDoFuc,-0.2697134999999999,36.0348327,"Kiamunyi olive center, Nakuru, Kenya",0705 491593,5
Veterinary Resource Centre,ChIJzcG0ppaNKRgRvUvUIU2PogM,-0.2838075,36.0720292,"P38C+FRC, Kenyatta Ln, Nakuru, Kenya",0722 808558,5
Jeys Agrovet,ChIJxTNabZGNKRgR-Z_MMuSXUzs,-0.2829951,36.07530250000001,"P38G+R43, Nakuru, Kenya",N/A,5
Pet Centre Nakuru,ChIJS5qYCUaTKRgRCgpQlgZomhg,-0.2838953,36.09296959999999,"Oginga Odinga Ave, Nakuru, Kenya",0720 212116,5
Nakuru Specialist Hospital,ChIJI_UHMRmPKRgRkiZXbs0ZAhc,-0.3026192,36.1419076,"Kiondo Lanet, Nakuru, Kenya",0700 907000,4
Dr. K. A. Shah Veterinary Clinic,ChIJQ5NZdesBgRcRe2m0-NGf9os,0.5043088,35.2851559,"Elgon View Rd, Off Ramogi Dr, Eldoret, Kenya",0721 821555,4.9
Veterinary Investigation Laboratory Eldoret,ChIJqS-rHqgBgRcR0Tnip66GSsM,0.5278183999999999,35.2802298,"G7HJ+43H, Eldoret, Kenya",N/A,3.9
"Northrift veterinary clinic,Eldoret",ChIJ8TAIC5oBgRcRAldvo7ADRXc,0.5005434,35.2842877,"Elgonview drive, Eldoret, Kenya",0723 082862,4.3
Eldoret Veterinary Services,ChIJJ74xBqMBgRcRMK9VO6w1Eug,0.5159908,35.2774997,"G78G+9XX, Ronald Ngala St, Eldoret, Kenya",N/A,5
"Nevas Veterinary Services Eldoret c/o DR. MISEDA MISEDA, BVM,Vet Surgeon",ChIJi8I_D6MBgRcRrx0C8gaZ3RY,0.5146213,35.2696513,"Tamarind Place RONALD NGALA Next to Mt. Kenya University ELDORET, Kapseret, Kenya",0727 224011,4
Lessos Veterinary Supplies Ltd,ChIJVdk9m6QBgRcRbixtmmKsjFM,0.5174089999999999,35.2749785,"Tilil House, Kipkenyo, Kenyatta Road, Eldoret, Kenya",051 2213950,4.7
Nevas Veterinary,ChIJvcw5D6MBgRcRDtxiqmsyyWw,0.5158505,35.27725999999999,"G78G+8WR, Ronald Ngala St, Eldoret, Kenya",0727 224011,5
Eldoret Vetchick Enterprises,ChIJd8I0VKgBgRcRJ0GUokXNZfA,0.5200509999999999,35.2674449,"Malaba Rd, Eldoret, Kenya",0721 458502,5
Kapsaos Veterinary Services,ChIJLQbGKXEBgRcRMDW1LY3eIOg,0.5142774999999999,35.2697802,"G779+PW6, Eldoret, Kenya",0721 896858,N/A
Ushauri Agi Extension & Vet services,ChIJf-o9rTIBgRcRr6WbnfYvoi0,0.52176,35.2752311,"Oloo, G7CG+P35, Eldoret, Kenya",0734 505007,N/A
Sacred Hearth Agro-vet,ChIJ00SLwcv_gBcRSx-Kdyfsv7Q,0.4443942,35.2348151,"Eldoret Kisumu Road Simat/Kapseret Kapseret, Kenya",0721 519957,N/A
Lelaibei Veterinary Center,ChIJH8qXgaMBgRcRa3yOg8nMlNc,0.5162473,35.2754819,"G78G+F5X, Elijah Cheriyot St, Eldoret, Kenya",N/A,N/A
Metro Vet K. Ltd,ChIJtX76sqUBgRcR3DQSFtTX2ps,0.5166802999999999,35.2723601,"G78C+MWH, Market St, Eldoret, Kenya",N/A,N/A
Korosiot Agro Vet,ChIJazSCWKMBgRcRDGkFVWh-yv4,0.5150205999999999,35.2753237,"G78G+244, Nandi Rd, Eldoret, Kenya",N/A,N/A
Nekin Farm And Vet Deport,ChIJzZVN7ygBgRcRol7wiD5LE4o,0.5156229,35.2760318,"Kipkenyo Kapseret, Eldoret, Kenya",053 2031561,N/A
Poultryline Agro Vet,ChIJSxLVhqQBgRcRNrdHuUS1bf8,0.5160420000000001,35.2749699,"G78F+CX9, Kenyatta St, Eldoret, Kenya",N/A,N/A
Baitugaa Agro Vet,ChIJB00lSaMBgRcR5D---4JXVUI,0.5146262999999999,35.2763917,"G77G+VH2, Nandi Rd, Eldoret, Kenya",N/A,N/A
Vema Agro-Vet,ChIJHXzA4aABgRcR-mHuZFAAczI,0.5201515999999999,35.2766898,"G7CG+3M8, C 48, Eldoret, Kenya",N/A,N/A
Emkoin Agrovet & Vet,ChIJl-AMc0EHgRcRxhgR1NFklzc,0.5664726,35.2325147,"H68M+H2J, Eldoret Kitale, Eldoret, Kenya",N/A,N/A
Kaptich Vet centre,ChIJ6QiJr4sBgRcRCKLXmrWbznY,0.5143972,35.2755751,"G77G+Q64, Stendi Kisa - Yala Rd, Eldoret, Kenya",N/A,N/A
AAR Healthcare Eldoret Outpatient Centre,ChIJz7tVaKQBgRcRmFUwUks8Emw,0.5144988999999999,35.2910291,"1st Floor, Rupa's Mall, Eldoret, Kenya",0732 979785,3.9
